feature,group,source,window,dtype,description,missing_count_train,missing_ratio_train,constant_in_train,in_behavior_core_linear,in_behavior_core,in_behavior_plus_context,in_demographic_experiment
coupon_line_rate_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
baskets_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
active_days_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
active_weeks_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
avg_basket_value_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
discounted_basket_rate_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
coupon_basket_rate_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
unique_products_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
unique_departments_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
customer_spend_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
discounted_line_rate_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_line_rate_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
baskets_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
active_days_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
active_weeks_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
avg_basket_value_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
discounted_basket_rate_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_basket_rate_last_12w,temporal_trend,transaction_data + basket + product time windows,last 12 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
