family,feature_set,candidate_id,parameters,fold,fit_seconds,average_precision,roc_auc,brier_score,positive_rate,top_k_rate,top_k_count,positives_captured_at_top_k,recall_at_top_k,precision_at_top_k,lift_at_top_k
logistic,behavior_core_linear,5,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",431_to_487,0.023457700008293614,0.35117868005528746,0.8725180307306366,0.1533581853783211,0.06590509666080843,0.1,228,77,0.5133333333333333,0.33771929824561403,5.1243274853801175
logistic,behavior_core_linear,5,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",431_487_to_543,0.05135389999486506,0.3214973088171976,0.8866819110972525,0.1501863617981771,0.05939287285525737,0.1,228,64,0.4740740740740741,0.2807017543859649,4.726185834957764
logistic,behavior_core_linear,6,"{""model__C"": 5.0, ""model__class_weight"": null}",431_to_487,0.03025669998896774,0.3720469052009419,0.8769363436814048,0.049410446154849484,0.06590509666080843,0.1,228,81,0.54,0.35526315789473684,5.390526315789474
logistic,behavior_core_linear,6,"{""model__C"": 5.0, ""model__class_weight"": null}",431_487_to_543,0.06712740000511985,0.3130789066605455,0.8812562796660084,0.04802690334767685,0.05939287285525737,0.1,228,63,0.4666666666666667,0.27631578947368424,4.65233918128655
logistic,behavior_core_linear,7,"{""model__C"": 5.0, ""model__class_weight"": ""balanced""}",431_to_487,0.026368699996965006,0.34553362446830976,0.871887739103167,0.15398303974904584,0.06590509666080843,0.1,228,77,0.5133333333333333,0.33771929824561403,5.1243274853801175
logistic,behavior_core_linear,7,"{""model__C"": 5.0, ""model__class_weight"": ""balanced""}",431_487_to_543,0.049252199998591095,0.32231812474475097,0.8864116689186848,0.15025585334008731,0.05939287285525737,0.1,228,64,0.4740740740740741,0.2807017543859649,4.726185834957764
random_forest,behavior_core,0,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_to_487,0.42282960000738967,0.4127254598447173,0.878038570084666,0.04921399702152193,0.06590509666080843,0.1,228,82,0.5466666666666666,0.35964912280701755,5.457076023391814
random_forest,behavior_core,0,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_487_to_543,0.5113942000025418,0.3047862164086281,0.8800956241554931,0.047391834797479965,0.05939287285525737,0.1,228,65,0.48148148148148145,0.2850877192982456,4.80003248862898
random_forest,behavior_core,1,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_to_487,0.41978260000178125,0.3902753870403811,0.879181561618062,0.04956518762749154,0.06590509666080843,0.1,228,80,0.5333333333333333,0.3508771929824561,5.3239766081871345
random_forest,behavior_core,1,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_487_to_543,0.4429800000070827,0.3042269804092534,0.8803312199009111,0.04713159110628789,0.05939287285525737,0.1,228,65,0.48148148148148145,0.2850877192982456,4.80003248862898
random_forest,behavior_core,2,"{""model__class_weight"": null, ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_to_487,0.3658389999909559,0.41109018693834565,0.8802069614299153,0.04907225310052966,0.06590509666080843,0.1,228,83,0.5533333333333333,0.36403508771929827,5.523625730994152
random_forest,behavior_core,2,"{""model__class_weight"": null, ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_487_to_543,0.46479030000045896,0.3061081496707267,0.879063160447632,0.0474484318589244,0.05939287285525737,0.1,228,63,0.4666666666666667,0.27631578947368424,4.65233918128655
random_forest,behavior_core,3,"{""model__class_weight"": null, ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_to_487,0.3689070999971591,0.39656464972645944,0.8792458450925056,0.049473927903371046,0.06590509666080843,0.1,228,80,0.5333333333333333,0.3508771929824561,5.3239766081871345
random_forest,behavior_core,3,"{""model__class_weight"": null, ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_487_to_543,0.45578519999980927,0.30317045698624817,0.8799674323528393,0.047167689903717946,0.05939287285525737,0.1,228,64,0.4740740740740741,0.2807017543859649,4.726185834957764
random_forest,behavior_core,4,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_to_487,0.3768716000049608,0.41043240864056885,0.879390090937598,0.04906136496078164,0.06590509666080843,0.1,228,85,0.5666666666666667,0.37280701754385964,5.656725146198831
random_forest,behavior_core,4,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",431_487_to_543,0.4741076000063913,0.3023833270264631,0.8773377680767764,0.04752392488940678,0.05939287285525737,0.1,228,63,0.4666666666666667,0.27631578947368424,4.65233918128655
random_forest,behavior_core,5,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_to_487,0.3722774999914691,0.39656464972645944,0.8792458450925056,0.049473927903371046,0.06590509666080843,0.1,228,80,0.5333333333333333,0.3508771929824561,5.3239766081871345
random_forest,behavior_core,5,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",431_487_to_543,0.478108199997223,0.30366830749438917,0.8802757856078716,0.04714446379267277,0.05939287285525737,0.1,228,64,0.4740740740740741,0.2807017543859649,4.726185834957764
